Lat,Lon,Alt,Dist,Speed
39.984683,116.31845,492,3.516886428136975,3.516886428136975
39.984686,116.318417,492,2.8312990440656636,2.8312990440656636
39.984688,116.318385,492,2.7354344584333345,2.7354344584333345
39.984655,116.318263,492,11.023007768714674,11.023007768714674
39.984611,116.318026,493,20.776544405670588,20.776544405670588
39.984608,116.317761,493,22.580318917247546,22.580318917247546
39.984563,116.317517,496,21.3823917859459,21.3823917859459
39.984539,116.317294,500,19.186000526534592,19.186000526534592
39.984606,116.317065,505,20.88468877491493,20.88468877491493
39.984568,116.316911,510,13.784315600983486,13.784315600983486
39.984586,116.316716,515,16.734029500810795,16.734029500810795
39.984561,116.316527,520,16.34089345468702,16.34089345468702
39.984536,116.316354,525,14.999369818431408,14.999369818431408
39.984523,116.316188,531,14.216805868875186,14.216805868875186
39.984516,116.315963,536,19.18569754021897,19.18569754021897
39.984523,116.315823,541,11.95330829107237,11.95330829107237
39.984574,116.315611,546,18.93162043836812,18.93162043836812
39.984568,116.315407,551,17.393498113093905,17.393498113093905
39.984538,116.315148,556,22.317394146382842,22.317394146382842
39.984501,116.314907,560,20.941220829238098,20.941220829238098
39.984532,116.314808,564,9.111928044519892,9.111928044519892
39.984504,116.314625,569,15.899343808502385,15.899343808502385
39.984485,116.314426,574,17.085842906597524,17.085842906597524
39.984427,116.31424,579,17.10921356950676,17.10921356950676
39.984485,116.314042,584,18.060303571930795,18.060303571930795
39.98448,116.313818,589,19.09280926257557,19.09280926257557
39.984501,116.313659,595,13.746516986023693,13.746516986023693
39.984618,116.314323,113,58.04911936438659,58.04911936438659
39.984649,116.314107,117,18.723121461043508,18.723121461043508
39.984621,116.313941,121,14.481747237418478,14.481747237418478
39.984655,116.313724,126,18.87086099512489,18.87086099512489
39.984681,116.313521,129,17.53544102863447,17.53544102863447
39.984708,116.313311,133,18.142004598723823,18.142004598723823
39.984708,116.313099,137,18.062257732345362,18.062257732345362
39.984696,116.312921,144,15.224069808280403,15.224069808280403
39.984677,116.312746,153,15.058826463173324,15.058826463173324
39.984682,116.312525,155,18.837266023730137,18.837266023730137
39.984649,116.312332,158,16.847931426524855,16.847931426524855
39.984641,116.312123,164,17.828881961598206,17.828881961598206
39.984647,116.311917,170,17.563754189054077,17.563754189054077
39.984654,116.31172,178,16.802320404842725,16.802320404842725
39.984631,116.311569,180,13.116851830967667,13.116851830967667
39.984647,116.31138,184,16.200675007115578,16.200675007115578
39.984653,116.311189,194,16.28675632093548,16.28675632093548
39.984628,116.311026,206,14.162996557638301,14.162996557638301
39.984652,116.310854,214,14.895312263112492,14.895312263112492
39.984656,116.31066,222,16.53466620806617,16.53466620806617
39.984616,116.310534,231,11.620062187216385,11.620062187216385
39.984676,116.31033,235,18.617183468337064,18.617183468337064
39.984698,116.310063,242,22.879383636209273,22.879383636209273
39.984696,116.309937,250,10.737420451522764,10.737420451522764
39.984663,116.309851,260,8.194619842382243,8.194619842382243
39.984598,116.309749,266,11.303152249326107,11.303152249326107
39.98454,116.309656,270,10.216469448381925,10.216469448381925
39.984525,116.309503,271,13.14180480978833,13.14180480978833
39.984498,116.309348,270,13.54290497496874,13.54290497496874
39.984481,116.309173,265,15.029281620844309,15.029281620844309
39.984489,116.308993,261,15.36170701233328,15.36170701233328
39.98447,116.308827,257,14.300063277675397,14.300063277675397
39.98449,116.308638,251,16.255569459465097,16.255569459465097
39.98449,116.308485,247,13.035538919947465,13.035538919947465
39.984494,116.308351,240,11.425406869175367,11.425406869175367
39.984499,116.308201,240,12.792026662757223,12.792026662757223
39.984484,116.308049,244,13.057306431911892,13.057306431911892
39.984491,116.307902,253,12.548505414411126,12.548505414411126
39.984499,116.307809,264,7.97334028831607,7.97334028831607
